nota,avaliacoes,nome,leram,querem_ler,relendo,abandonos,resenhas,autor,editora,ano,paginas
4.6,1727,Sandman: Os Caçadores de Sonhos,3290,28,759,5,37,Neil Gaiman,Panini,2014,132
4.2,10676,A Invenção de Hugo Cabret,16794,447,5120,175,618,Brian Selznick,Edições SM,2007,534
4.5,23333,O Meu Pé de Laranja Lima,39737,961,11885,625,1860,José Mauro de Vasconcelos,Melhoramentos,2017,232
3.9,503,Buracos,1024,54,330,7,20,Louis Sachar,Martins Fontes,2000,245
3.7,10142,O que Aconteceu com Annie,12493,926,10988,360,1613,C.J. Tudor,Intrínseca,2019,288
4.4,40763,Coraline,64312,2922,61560,418,5208,Neil Gaiman,Intrínseca,2020,224
4.0,8673,Anjo da Morte,19360,264,2433,147,141,Pedro Bandeira,Moderna,2003,142
3.9,10023,Pântano de Sangue,21994,247,2201,160,173,Pedro Bandeira,Moderna,2003,192
3.9,13925,A Droga do Amor,33745,335,3326,174,181,Pedro Bandeira,Moderna,1994,176
3.4,25584,Memórias de um Sargento de Milícias,98906,851,7999,2045,601,Manuel Antônio de Almeida,Martin Claret,2012,206
4.5,91508,O Diário de Anne Frank,260799,16320,216385,6910,6136,Anne Frank,Record,2008,350
3.8,12160,O escaravelho do diabo,29630,255,2173,203,301,Lucia Machado de Almeida,Ática,1982,128
3.7,12413,A Ilha Perdida,28162,326,1608,199,299,Maria José Dupré,Ática,1995,128
3.7,837,Missão no Oriente,1859,37,261,15,16,Luiz Puntel,Ática,1999,152
3.8,1668,Star Wars: Marcas da Guerra,2408,295,2923,134,118,Chuck Wendig,Editora Aleph,2015,408
4.4,2516,Sherlock Holmes # 4,3904,304,10672,71,183,Sir Arthur Conan Doyle,Harper Collins Brasil,2016,424
3.9,795,Star Wars: Troopers da Morte,1134,43,1605,21,66,Joe Schreiber,Editora Aleph,2015,330
3.4,45,O Sumô que não podia engordar,61,2,15,0,3,Eric-Emmanuel Schmitt,Sá Editora,2010,96
4.2,5996,O Mistério da Estrela,8897,284,7354,165,459,Neil Gaiman,Rocco,2008,280
4.5,4325,Sherlock Holmes # 2,6359,723,9274,101,368,Sir Arthur Conan Doyle,HarperCollins Brasil,2016,400
4.5,7199,Sherlock Holmes # 1,10175,2677,8753,349,669,Sir Arthur Conan Doyle,HarperCollins Brasil,2016,512
4.4,106718,A Revolução dos Bichos,235949,8342,109848,1918,10013,George Orwell,Editora Pandorga,2021,166
4.4,3160,Sherlock Holmes # 3,4771,511,10207,69,245,Sir Arthur Conan Doyle,HarperCollins Brasil,2016,472
4.5,68209,1984,125054,15761,135360,3252,6456,George Orwell,Editora Pandorga,2021,502
3.8,600,Star Wars: Provação,908,70,2049,27,47,Troy Denning,Editora Aleph,2015,408
3.9,813,Como Mentir com Estatistica,1165,156,1161,12,102,Darrell Huff,Intrínseca,2016,160
4.3,52843,Assassinato no Expresso do Oriente,100345,2577,33442,1047,4071,Agatha Christie,Nova Fronteira,2014,200
4.3,22463,Morte no Nilo,35757,1776,16567,435,2962,Agatha Christie,Nova Fronteira,2014,256
4.4,1653,Your Name.,2003,177,2277,26,255,Makoto Shinkai,Verus,2018,192
3.8,14759,Um corpo na biblioteca,24113,1064,12577,439,1539,Agatha Christie,Nova Fronteira,2014,184
4.5,13975,Duna,18239,6596,41751,887,2411,Frank Herbert,Aleph,2021,768
3.8,35679,O Alquimista,116817,950,11266,1362,1305,Paulo Coelho,Gold,2006,192
4.4,5427,2001: Uma Odisseia no Espaço,7794,485,9465,141,413,Arthur C. Clarke,Editora Aleph,2020,336
4.2,6163,O Fim da Infância,7728,496,8269,173,918,Arthur C. Clarke,Editora Aleph,2019,320
4.0,4,Imperador Deus de Duna,8,2,44,0,0,Frank Herbert,Editora Aleph,2021,567
3.9,9,Filhos de Duna,1,6,39,0,1,Frank Herbert,Editora Aleph,2021,597
4.1,24,Messias de Duna,25,11,44,0,3,Frank Herbert,Aleph,2021,312
4.4,8448,Trilogia da Fundação,12380,1464,11203,297,730,Isaac Asimov,Aleph,2019,896
4.3,1917,Encontro com Rama,2881,122,2299,35,87,Arthur C. Clarke,Editora Aleph,2020,288
4.8,2,Hereges de Duna,2,1,45,0,0,Frank Herbert,Editora Aleph,2021,568
4.0,355,Herdeiras de Duna,659,34,2292,8,24,Frank Herbert,Aleph,2021,528
